open_time,open,high,low,close,volume,variacao_percentual,mm_3,mm_6,mm_12
2020-04-01,6412.14,9460.0,6150.11,8620.0,2528373.691121,34.46814883221745,7851.349999999999,7940.676666666666,8679.279166666667
2020-05-01,8620.0,10067.0,8117.0,9448.27,2685340.078508,9.608700696055683,8159.57,8258.406666666666,8753.718333333332
2020-06-01,9448.27,10380.0,8833.0,9138.55,1504745.517922,-3.278060427993712,9068.94,8582.293333333333,8610.755833333333
2020-07-01,9138.08,11444.0,8893.03,11335.46,1507827.21494,24.040028232049938,9974.093333333332,8912.721666666666,8715.333333333334
2020-08-01,11335.46,12468.0,10518.5,11649.51,1891193.007128,2.770509533799248,10707.839999999998,9433.705,8887.17
2020-09-01,11649.51,12050.85,9825.0,10776.59,1730389.160179,-7.49319070072475,11253.853333333333,10161.396666666666,9094.440833333332
2020-10-01,10776.59,14100.0,10374.0,13791.0,1592634.419946,27.97183524658542,12072.366666666667,11023.230000000001,9481.953333333333
2020-11-01,13791.0,19863.16,13195.05,19695.87,2707064.911165,42.8168370676528,14754.486666666666,12731.163333333332,10494.784999999998
2020-12-01,19695.87,29300.0,17572.33,28923.63,2495281.856217,46.85124343326801,20803.5,16028.676666666666,12305.485
2021-01-01,28923.63,41950.0,28130.0,33092.98,3440864.750019,14.415030201949076,27237.493333333336,19654.93,14283.82583333333
2021-02-01,33092.97,58352.8,32296.16,45135.66,2518242.148517,36.390436884197186,35717.42333333334,25235.954999999998,17334.83
2021-03-01,45134.11,61844.0,44950.53,58740.55,2098808.027432,30.142220142565755,45656.39666666667,33229.948333333334,21695.6725
2021-04-01,58739.46,64854.0,46930.0,57694.27,1993468.938007,-1.7811886337462002,53856.82666666667,40547.159999999996,25785.195000000003
2021-05-01,57697.25,59500.0,30000.0,37253.81,3536245.256573,-35.428925610810225,51229.543333333335,43473.48333333333,28102.323333333334
2021-06-01,37253.82,41330.0,28805.0,35045.0,2901775.305923,-5.929084837228727,43331.026666666665,44493.71166666667,30261.194166666668
2021-07-01,35045.0,42448.0,29278.0,41461.83,1778463.264837,18.310258239406487,37920.21333333333,45888.52,32771.725
2021-08-01,41461.84,50500.0,37332.7,47100.89,1635402.874245,13.600605665500055,41202.57333333334,46216.05833333333,35726.00666666667
2021-09-01,47100.89,52920.0,39600.0,43824.1,1527799.510768,-6.956959836640031,44128.94,43729.98333333334,38479.96583333333
2021-10-01,43820.01,67000.0,43283.03,61299.8,1565556.292623,39.8769170387983,50741.59666666667,44330.905,42439.0325
2021-11-01,61299.81,69000.0,53256.64,56950.56,1291900.105248,-7.095031305159239,54024.82,47613.69666666666,45543.59
2021-12-01,56950.56,59053.55,42000.3,46216.93,1233745.524318,-18.847277357764348,54822.43,49475.685,46984.698333333334
2022-01-01,46216.93,47990.0,32917.17,38466.9,1279407.465721,-16.768811775252058,47211.46333333334,48976.53,47432.525
2022-02-01,38466.9,45821.0,34322.28,43160.0,1253514.21906,12.20035926991776,42614.61000000001,48319.715000000004,47267.886666666665
2022-03-01,43160.0,48189.84,37155.0,45510.34,1501398.79591,5.445644114921211,42379.08000000001,48600.755000000005,46165.369166666664
2022-04-01,45510.35,47444.11,37578.2,37630.8,1267655.68178,-17.313735735659176,42100.380000000005,44655.92166666667,44493.41333333333
2022-05-01,37630.8,40023.77,26700.0,31801.04,2387839.680804,-15.491990603441863,38314.060000000005,40464.335,44039.01583333333
2022-06-01,31801.05,31982.97,17622.0,19942.21,2816058.473226,-37.29069866897435,29791.350000000006,36085.215,42780.45
2022-07-01,19942.21,24668.0,18781.0,23293.32,4983278.5881,16.804105462734565,25012.190000000002,33556.284999999996,41266.4075
2022-08-01,23296.36,25211.32,19520.0,20050.02,5692462.41571,-13.92373435817651,21095.183333333334,29704.62166666667,39012.168333333335
2022-09-01,20048.44,22799.0,18125.98,19422.61,9838930.53657,-3.129223811248072,20921.983333333337,25356.666666666668,36978.71083333334
2022-10-01,19422.61,21085.0,18190.0,20490.74,7499121.81542,5.499415372084404,19987.790000000005,22499.99,33577.95583333333
2022-11-01,20490.74,21480.65,15476.0,17163.64,9127693.509065,-16.237090510152395,19025.663333333334,20060.423333333332,30262.379166666666
2022-12-01,17165.53,18387.95,16256.3,16542.4,5803833.88187,-3.6195119450186386,18065.593333333334,19493.788333333334,27789.501666666667
2023-01-01,16541.77,23960.54,16499.01,23125.13,7977028.87801,39.79307718348002,18943.72333333334,19465.756666666664,26511.020833333332
2023-02-01,23125.13,25250.0,21351.07,23141.57,8642691.27165,0.0710914922424255,20936.36666666667,19981.015000000003,24842.81833333333
2023-03-01,23141.57,29184.68,19549.09,28465.36,9516189.35846,23.00531035707605,24910.686666666672,21488.140000000003,23422.403333333335
2023-04-01,28465.36,31000.0,26942.82,29233.21,1626745.5585,2.6974891587529415,26946.713333333333,22945.218333333334,22722.604166666668
2023-05-01,29233.2,29820.0,25811.46,27210.35,1302000.49221,-6.919732728632955,28302.97333333334,24619.67,22340.046666666665
2023-06-01,27210.36,31431.94,24800.0,30472.0,1387207.48275,11.986799140768124,28971.853333333336,26941.27,23217.529166666664
2023-07-01,30471.99,31804.2,28861.9,29232.25,925773.81731,-4.0684891047519045,28971.533333333336,27959.123333333333,23712.440000000002
2023-08-01,29232.26,30244.0,25166.0,25940.78,1025866.55023,-11.25972171146593,28548.343333333338,28425.65833333333,24203.336666666666
2023-09-01,25940.77,27483.57,24901.0,26962.56,809329.04893,3.9388946670069425,27378.530000000002,28175.19166666667,24831.665833333333
2023-10-01,26962.57,35280.0,26538.66,34639.77,1141403.6799,28.47359449547815,29181.03666666667,29076.285,26010.751666666667
2023-11-01,34639.78,38450.0,34097.39,37723.96,1055690.59638,8.903609925816491,33108.763333333336,30828.553333333333,27724.111666666664
2023-12-01,37723.97,44700.0,37615.86,42283.58,1195409.976,12.08680106754434,38215.770000000004,32797.15,29869.209999999995
2024-01-01,42283.58,48969.48,38555.0,42580.0,1403408.84978,0.7010286262421506,40862.513333333336,35021.775,31490.44916666666
2024-02-01,42580.0,64000.0,41884.28,61130.98,1206112.69545,43.567355565993424,48664.85333333334,40886.808333333334,34656.23333333334
2024-03-01,61130.99,73777.0,59005.0,71280.01,1706807.381342,16.602105838970658,58330.329999999994,48273.049999999996,38224.12083333333
2024-04-01,71280.0,72797.99,59191.6,60672.0,1201500.95852,-14.882166823489495,64360.996666666666,52611.755000000005,40844.02
2024-05-01,60672.01,71979.0,56552.82,67540.01,945031.04072,11.319900448312236,66497.34000000001,57581.09666666667,44204.825000000004
2024-06-01,67540.01,71997.02,58402.0,62772.01,696818.18818,-7.059519239040668,63661.34,60995.835,46896.4925
2024-07-01,62772.01,70079.99,53485.93,64628.0,908004.33426,2.9567158993315523,64980.00666666666,64670.50166666667,49846.138333333336
2024-08-01,64628.01,65659.78,49000.0,58973.99,1010291.47396,-8.748545522064743,62124.666666666664,64311.00333333333,52598.90583333333
2024-09-01,58974.0,66498.0,52550.0,63327.59,734117.07575,7.382237491477173,62309.85999999999,62985.600000000006,55629.325000000004
2024-10-01,63327.6,73620.12,58946.0,70292.01,756010.86343,10.997449926643355,64197.86333333332,64588.935,58600.345
2024-11-01,70292.01,99588.01,66835.0,96407.99,1343559.242196,37.153554152171786,76675.86333333333,69400.265,63490.68083333334
2024-12-01,96407.99,108353.0,90500.0,93576.0,1019450.065773,-2.9375054909868026,86758.66666666667,74534.26333333334,67765.04916666666
2025-01-01,93576.0,109588.0,89256.69,102429.56,864534.738322,9.461357613063171,97471.18333333333,80834.52333333333,72752.5125
2025-02-01,102429.56,102783.71,78258.52,84349.94,810850.1813,-17.650783621446774,93451.83333333333,85063.84833333334,74687.42583333333
2025-03-01,84349.95,95000.0,76606.0,82550.01,845293.53101,-2.133884149769405,89776.50333333334,88267.585,75626.5925
2025-04-01,82550.0,95758.04,74508.0,94172.0,793597.00179,14.078726338131275,87023.98333333334,92247.58333333333,78418.25916666667
2025-05-01,94172.0,111980.0,93377.0,104591.88,642216.546125,11.06473261691374,93771.29666666668,93611.565,81505.915
2025-06-01,104591.88,110530.17,98200.0,107146.5,427546.46336,2.442464940873035,101970.12666666666,95873.315,85203.78916666667
2025-07-01,107146.51,123218.0,105100.19,115764.08,484315.651017,8.042801211425488,109167.48666666665,98095.735,89465.12916666667
2025-08-01,115764.07,124474.0,107350.1,108246.35,471366.942936,-6.494009195252959,110385.64333333333,102078.46999999999,93571.15916666666
2025-09-01,108246.36,117900.0,107255.0,114048.93,374551.99407,5.360531786984035,112686.45333333332,107328.29,97797.9375
2025-10-01,114048.94,126199.63,102000.0,109608.01,720300.285006,-3.8938725685545683,110634.43,109900.95833333333,101074.27083333333
2025-11-01,109608.01,111250.01,80600.0,90360.0,784853.66178,-17.560769509454644,104672.31333333334,107528.97833333333,100570.27166666667
2025-12-01,90360.01,94588.99,83822.76,87648.22,491084.34878,-3.0010845506861394,95872.07666666666,104279.265,100076.29
2026-01-01,87648.21,97924.49,75719.9,78741.09,491752.73296,-10.16236268118167,85583.10333333333,98108.76666666666,98102.25083333334
2026-02-01,78741.1,79424.0,60000.0,66973.26,837887.67719,-14.944967106754559,77787.52333333333,91229.91833333333,96654.19416666667
2026-03-01,66973.26,76000.0,65000.0,68284.48,705639.88404,1.9578261533035768,71332.94333333331,83602.51,95465.40000000001
2026-04-01,68284.49,79485.66,65712.12,76346.57,473256.46982,11.806621358176873,70534.77,78058.93666666666,93979.94750000001
2026-05-01,76346.58,82850.0,72512.49,73674.39,425331.03039,-3.500065556317733,72768.48,75278.00166666666,91403.48999999999
2026-06-01,73674.39,74092.0,59130.91,62801.99,258646.23779,-14.757366840770592,70940.98333333334,71136.96333333333,87708.11416666665
