open_time,open,high,low,close,volume,variacao_percentual,mm_3,mm_6,mm_12
2017-08-01,301.13,393.71,144.21,384.79,82652.55971,,,,
2017-09-01,386.44,394.39,192.0,304.36,167937.12444,-20.902310351100606,,,
2017-10-01,305.13,354.0,272.2,304.9,231137.83697,0.17742147456958346,331.34999999999997,,
2017-11-01,304.89,515.0,274.73,427.43,558140.09976,40.18694653984913,345.56333333333333,,
2017-12-01,428.05,864.9,375.01,733.98,1709681.42863,71.71934585780129,488.77,,
2018-01-01,733.01,1440.0,716.8,1124.81,4449875.05067,53.24804490585573,762.0733333333334,546.7116666666667,
2018-02-01,1125.96,1164.99,570.1,853.5,4763007.17082,-24.120518131951172,904.0966666666667,624.83,
2018-03-01,853.5,879.96,366.0,393.92,3233542.72918,-53.846514352665494,790.7433333333333,639.7566666666667,
2018-04-01,393.93,712.99,356.9,670.78,3985713.71581,70.28330625507715,639.4,700.7366666666667,
2018-05-01,670.78,839.99,506.11,577.81,4408748.58226,-13.859983899341067,547.5033333333333,725.8000000000001,
2018-06-01,577.81,628.81,404.48,454.09,3679540.26495,-21.411882798843905,567.56,679.1516666666666,
2018-07-01,454.2,515.47,416.94,432.22,4643015.20349,-4.81622585831002,488.03999999999996,563.72,555.2158333333333
2018-08-01,432.2,434.99,250.0,281.41,8484870.73771,-34.89195317199574,389.24,468.37166666666667,546.6008333333333
2018-09-01,281.46,302.0,167.32,232.94,15011197.24495,-17.22397924736151,315.52333333333337,441.5416666666667,540.6491666666667
2018-10-01,233.04,239.0,189.01,198.73,5656055.71475,-14.686185283764065,237.69333333333336,362.8666666666666,531.8016666666666
2018-11-01,198.7,224.8,102.36,113.73,10359794.18795,-42.771599657827196,181.79999999999998,285.52000000000004,505.66
2018-12-01,113.71,157.67,81.79,131.45,18264688.97842,15.580761452563063,147.97,231.74666666666667,455.4491666666667
2019-01-01,131.45,159.26,100.91,106.44,13940118.50003,-19.02624572080639,117.20666666666666,177.45000000000002,370.585
